view,sight height(M),street-canyon width,window width(M),sill height(M),balcony,space category,building height(L),building height(F),building height(R),window width(L),window width(F),window width(R),sill height(L),sill height(F),sill height(R),balcony(L),balcony(F),balcony(R),curtain(L),curtain(F),curtain(R),sex,age,edu,privacy
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,University Education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,46-60,University Education,high
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,21-30,Secondary education,high
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,Secondary education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,Secondary education,v-low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,University Education,v-low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,Secondary education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,31-45,University Education,medium
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,21-30,Secondary education,medium
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,31-45,University Education,high
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,31-45,University Education,high
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,21-30,University Education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,21-30,University Education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,21-30,Secondary education,low
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Female,46-60,Secondary education,high
BGB,4.4,13.5,4.0,0.2,0,Bedroom,19,0.0,19.0,1.0,0.0,1.0,0.4,0.0,0.4,1,0,1,0,0,0,Male,46-60,University Education,low
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,medium
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,31-45,University Education,medium
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,31-45,University Education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,medium
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,46-60,Secondary education,low
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,31-45,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,21-30,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,medium
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,46-60,University Education,v-high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,21-30,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,Secondary education,v-high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,medium
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,Secondary education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,31-45,University Education,low
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,21-30,Secondary education,v-high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,31-45,University Education,v-high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Male,31-45,University Education,high
BGS,4.4,32.7,1.8,0.9,0,Bedroom,0,0.0,29.0,0.0,0.0,3.0,0.0,0.0,0.1,0,0,0,0,0,0,Female,21-30,University Education,high
